Cases:,Description:,compset,Type,nudged (0/1),setup(0/1),queued(0/1),done (0/1),Note,Nucleation scheme,start_time,end_time,nice_name,color, 
NF1850_MMET,create meteorology,1850_CAM60%NORESM%NORBC,original,0,1,1,1,,paas,0001-01-01,0007-01-01,,,
NF1850_spinup,spinup,1850_CAM60%NORESM%NORBC,original,0,1,1,1,,paas,0001-01-01,0003-01-01,,,
NF1850_aeroxid2014_spinup,spinup,1850_CAM60%NORESM%NORBC%AEROXID2014,original,0,1,1,1,,paas,0001-01-01,0003-01-01,,,
NF1850_noSECT_def,default PI,1850_CAM60%NORESM%NORBC,original,1,1,1,1,,paas,0003-01-01,0007-01-01,,,
NF1850_noSECT_ox_ricc,ox ricc PI,1850_CAM60%NORESM%NORBC,original,1,1,1,0,,ricc,0003-01-01,0007-01-01,,,
NF1850_SECT_ctrl,sectional PI,1850_CAM60%NORESM%NORBC,sectional,1,1,1,1,,ricc,0003-01-01,0007-01-01,,,
NF1850_aeroxid2014_noSECT_def,default aeroxid 2014  PI,1850_CAM60%NORESM%NORBC%AEROXID2014,original,1,1,1,1,,paas,0003-01-01,0007-01-01,,,
NF1850_aeroxid2014_SECT_ctrl,sectional aeroxid 2014 PI,1850_CAM60%NORESM%NORBC%AEROXID2014,sectional,1,1,1,1,,ricc,0003-01-01,0007-01-01,,,
NF1850_aeroxid2014_noSECT_ox_ricc,ox ricc aeroxid 2014 PI,1850_CAM60%NORESM%NORBC%AEROXID2014,original,1,1,1,1,,ricc,0003-01-01,0007-01-01,,,
NF1850_aeroxid2014_LU2000_noSECT_ox_ricc, fsur and inifile from same version/folder but change simyear, 1850_CAM60%NORESM%NORBC%AEROXID2014%SDYN_CLM50%BGC-CROP_CICE%PRES_DOCN%DOM_MOSART_SGLC_SWAV,original,1,1,1,1,,ricc,0003-01-01,0007-01-01,,,
