Cases:,Description:,compset,Type,nudged (0/1),setup(0/1),queued(0/1),done (0/1), running(0/1),Nucleation scheme,start_time,end_time,nice_name,color
SECTv21_mind3,min diameter 3 nm,NFHISTnorpddmsbcsdyn,sectional,1,1,1,1,1,ricc,2007-07-01,2010-01-01,,
SECTv21_nb3,number of bins 5,NFHISTnorpddmsbcsdyn,sectional,1,1,1,1,1,ricc,2007-07-01,2010-01-01,,
noSECTv21_ox_ricc_decY,decrease yield 50%,NFHISTnorpddmsbcsdyn,original,1,1,1,1,1,ricc,2007-07-01,2010-01-01,,
noSECTv21_ox_ricc_incY,increase yield 50%,NFHISTnorpddmsbcsdyn,original,1,1,1,1,1,ricc,2007-07-01,2010-01-01,,
noSECTv21_def_decY,decrease yield 50%,NFHISTnorpddmsbcsdyn,original,1,1,1,1,1,paas,2007-07-01,2010-01-01,,
noSECTv21_def_incY,increase yield 50%,NFHISTnorpddmsbcsdyn,original,1,1,1,1,1,paas,2007-07-01,2010-01-01,,
SECTv21_incY,increase yields 50%,NFHISTnorpddmsbcsdyn,sectional,1,1,1,1,1,ricc,2007-07-01,2010-01-01,,
SECTv21_decY,decrease yields 50%,NFHISTnorpddmsbcsdyn,sectional,1,1,1,1,1,ricc,2007-07-01,2010-01-01,,
SECTv21_incSO2,increase SO2,NFHISTnorpddmsbcsdyn,sectional,1,1,1,1,1,ricc,2007-07-01,2010-01-01,,
SECTv21_decSO2,decrease SO2,NFHISTnorpddmsbcsdyn,sectional,1,1,1,1,1,ricc,2007-07-01,2010-01-01,,
noSECTv21_def_incSO2,increase SO2,NFHISTnorpddmsbcsdyn,original,1,1,1,1,1,paas,2007-07-01,2010-01-01,,
noSECTv21_def_decSO2,decrease SO2,NFHISTnorpddmsbcsdyn,original,1,1,1,1,1,paas,2007-07-01,2010-01-01,,
noSECTv21_ox_ricc_incSO2,increase SO2,NFHISTnorpddmsbcsdyn,original,1,1,1,1,1,ricc,2007-07-01,2010-01-01,,
noSECTv21_ox_ricc_decSO2,decrease SO2,NFHISTnorpddmsbcsdyn,original,1,1,1,1,1,ricc,2007-07-01,2010-01-01,,
noSECTv21_ox_ricc_incSO24,increase SO2/SO4,NFHISTnorpddmsbcsdyn,original,1,0,0,0,0,ricc,2007-07-01,2010-01-01,,
noSECTv21_ox_ricc_decSO24,decrease SO2/SO4,NFHISTnorpddmsbcsdyn,original,1,1,1,1,1,ricc,2007-07-01,2010-01-01,,
SECTv21_incSO24,increase SO2/SO4,NFHISTnorpddmsbcsdyn,sectional,1,0,0,0,0,ricc,2007-07-01,2010-01-01,,
SECTv21_decSO24,decrease SO2/SO4,NFHISTnorpddmsbcsdyn,sectional,1,1,0,0,0,ricc,2007-07-01,2010-01-01,,
SECTv21_incNuc,increase nucleation rate,NFHISTnorpddmsbcsdyn,sectional,1,1,1,1,1,ricc,2007-07-01,2010-01-01,,
SECTv21_decNuc,decrease nucleation rate,NFHISTnorpddmsbcsdyn,sectional,1,1,1,1,1,ricc,2007-07-01,2010-01-01,,
noSECTv21_ox_ricc_incNuc,increase nucleation rate,NFHISTnorpddmsbcsdyn,original,1,1,1,1,1,ricc,2007-07-01,2010-01-01,,
noSECTv21_ox_ricc_decNuc,decrease nucleation rate,NFHISTnorpddmsbcsdyn,original,1,1,1,1,1,ricc,2007-07-01,2010-01-01,,
noSECTv21_def_incNuc,increase nucleation rate,NFHISTnorpddmsbcsdyn,original,1,1,1,1,1,paas,2007-07-01,2010-01-01,,
noSECTv21_def_decNuc,decrease nucleation rate,NFHISTnorpddmsbcsdyn,original,1,1,1,1,1,paas,2007-07-01,2010-01-01,,
